file,word,context,suggestions,confidence,rule_id
2015-08-22-kompaniya-cogan-priglashaet-vseh-prinyat-u.md:title,Ларс,"Компания COGAN приглашает всех принять участие в их бесплатном вебинаре, который проведет доктор Лар",Ларис | Барс | Фарс | Ларю | Ларе,LOW,SPELLING
2015-08-22-kompaniya-cogan-priglashaet-vseh-prinyat-u.md:body,Геотехнического,"Lars Andresen), управляющий директор Геотехнического института Норвегии (Norwegian Geotechnical Inst",Гелиотехнического | Лесотехнического | Агротехнического | Биотехнического | Геотермического,LOW,SPELLING
2015-08-22-nebia-super-ekonomichnyy-dush-s-kickstar.md:body,стартаперы,"Примечательно, что проектируют его в , а гидродинамику считают в  . Оба продукта засветились в ролик",стар таперы | стар-таперы | стартеры | стартер | стартера,LOW,SPELLING
2015-08-23-esli-ochen-hochetsya-to-mozhno-poschitat-v.md:title,софте,"Если очень хочется, то можно посчитать все на бесплатном софте.",софите | софе | соте | кофте | сорте,LOW,SPELLING
2015-08-23-esli-ochen-hochetsya-to-mozhno-poschitat-v.md:body,софт,"Правда, вам надо быть очень хорошим специалистом.
Пример того, как можно минимизировать затраты на с",софит | соф | сот | кофт | софа,LOW,SPELLING
2015-08-23-esli-ochen-hochetsya-to-mozhno-poschitat-v.md:body,валидацию,"Правда, вам надо быть очень хорошим специалистом.
Пример того, как можно минимизировать затраты на с",вариацию | вальвацию | вариация | вальвация,LOW,SPELLING
2015-08-27-ochen-skuchno-pro-ochen-interesnoe-lyukso.md:title,люксовый,"Очень скучно про очень интересное: люксовый производитель яхт Glider Yachts рассказал, как они живут",люковый | ласковый | плюсовый | люковой | люковые,LOW,SPELLING
2015-08-27-ochen-skuchno-pro-ochen-interesnoe-lyukso.md:title,что-то,"Очень скучно про очень интересное: люксовый производитель яхт Glider Yachts рассказал, как они живут",ото | тот | что | фото | лото,LOW,SPELLING
2015-08-28-v-krizis-prinyato-delat-interesnye-predl.md:body,софт,"Заключите контакт на 3 года, и получите скидку 15%.

Хотите обновлять ПО Autodesk раз в три года? Да",софит | соф | сот | кофт | софа,LOW,SPELLING
2015-08-30-ya-tochno-znayu-chetyreh-chelovek-kotorye-up.md:body,Удлинненный,"Есть решение!

""Удлинненный формат"" для LS-DYNA Keyword",Удлиненный | Удлиненны | Удлиненной | Удлиненные | Удлиненных,LOW,SPELLING
2015-08-31-nemnogo-zaputano-o-samyh-pervyh-shagah-si.md:body,ещё,"Не совсем то, что я ожидал прочитать, но тоже интересно. Тема таких монстров, как CATIA, Pro/E, UX н",еще | щей | щек | щеп | лещ,LOW,SPELLING
2015-09-01-sdaem-nebolshoy-pereryv-v-cad-i-cae-lu.md:title,агенства,"Сдаем небольшой перерыв в CAD и CAE - лучше посмотрим на то, как ученые из Европейского космического",агентства | агентствах | агентствам | агентств | агента,LOW,SPELLING
2015-09-07-ansys-nikak-ne-mozhet-ostanovitsya-s-poku.md:body,базворда,"Оказывается 2 сентября ANSYS приобрел компанию Delcross Technologies, разработчика одноименного прод",развода | развод | разводах | разводам | разводе,LOW,SPELLING
2015-09-08-rocky-otlichno-demostriruet-svoyu-vozmozhn.md:title,демострирует, отлично демострирует свою возможность моделировать  с учетом формы и разрушаемость частиц на пример,демонстрирует | демонстрировать | демонстрируют,LOW,SPELLING
2015-09-08-rocky-otlichno-demostriruet-svoyu-vozmozhn.md:title,разрушаемость, отлично демострирует свою возможность моделировать  с учетом формы и разрушаемость частиц на пример,разрушаем ость | разрушаем-ость,LOW,SPELLING
2015-09-08-rocky-otlichno-demostriruet-svoyu-vozmozhn.md:title,как-то, отлично демострирует свою возможность моделировать  с учетом формы и разрушаемость частиц на пример,факто | какао | акт,LOW,SPELLING
2015-09-08-v-bolge-comsol-rasskazyvayut-chto-swep-s.md:title,болге,"В болге  рассказывают, что swep сетка - это очень хорошо.",боге | боле | более | болте | долге,LOW,SPELLING
2015-09-09-u-simscale-est-apdeyt-uluchsheniya-kosnu.md:title,апдейт,У  есть апдейт.,адепт | Авдей | адепта | адепте | адепту,LOW,SPELLING
2015-09-09-u-simscale-est-apdeyt-uluchsheniya-kosnu.md:body,верификационный,Улучшения коснулись моделирования свободной поверхности и массо-переноса (да простят меня гидродинам,сертификационный | тарификационный | сертификационной | сертификационные | сертификационных,LOW,SPELLING
2015-09-09-u-simscale-est-apdeyt-uluchsheniya-kosnu.md:body,верификационный,Улучшения коснулись моделирования свободной поверхности и массо-переноса (да простят меня гидродинам,сертификационный | тарификационный | сертификационной | сертификационные | сертификационных,LOW,SPELLING
2015-09-10-lyubimyy-mnoyu-obchasnyy-cad-onshape-doba.md:title,обчасный,Любимый мною обчасный   добавил к арсеналу своих возможностей необходимы всем чертежи!,бочарный | бочажный | опасный | очажный | облачный,LOW,SPELLING
2015-09-10-vyshla-sedtmaya-versiya-cfd-koda-ot-cobalt.md:title,седтмая,"Вышла седтмая версия  кода от Cobalt Solutions, LLC.",седьмая | седая | седлая | сетная | судимая,LOW,SPELLING
2015-09-10-vyshla-sedtmaya-versiya-cfd-koda-ot-cobalt.md:body,какую-то,"Насколько мне удалось понять из их сайта,  bvttn какую-то особую любовь к изменяемой геометрии расче",каюта | каютою | каютой | капуста | кают,LOW,SPELLING
2015-09-12-autodesk-piara-ryadi-poschitali-vneshnyuyu-a.md:title,пиара, пиара ряди посчитали внешнюю аэродинамику бетмобиля (это на котором Бетмен ездит) при помощи их Aut,пара | пира | пиала | тиара | пи ара,LOW,SPELLING
2015-09-12-autodesk-piara-ryadi-poschitali-vneshnyuyu-a.md:title,Бетмен, пиара ряди посчитали внешнюю аэродинамику бетмобиля (это на котором Бетмен ездит) при помощи их Aut,Безмен | Темен | Бремен | Бетоне | Безмена,LOW,SPELLING
2015-09-12-nebolshaya-istoriya-o-tom-kak-tom-allen-t.md:body,Сохранённая,"

~~  → Сохранённая версия

*Оригинальная ссылка больше не доступна*",Сохраненная | Сохранная | Сохраненный | Сохранный,LOW,SPELLING
2015-09-13-kompaniya-esrd-inc-so-svoim-flagmanskim.md:body,Каким-то,"Каким-то магическим образом, StressCheck умеет получать сетконезависимое решение. Очень интересно по",Ракита | Ракитою | Ракитой | Ракит | Раките,LOW,SPELLING
2015-09-13-pered-snom-chasovoy-obzor-raschetnyh-vozm.md:title,компнаии,"Перед сном: часовой обзор расчетных возможностей новых приобретений ANSYS - продуктов EMIT, Savant и",компании | копании | кампании | компанию | компаний,LOW,SPELLING
2015-09-15-nikogda-ne-pozno-povtorno-poslushat-kurs.md:title,позно,Никогда не позно повторно послушать курс сопромата!,поздно | поено | полно | поз но | поз-но,LOW,SPELLING
2015-09-16-ge-ispolzuya-ansys-sozdali-prototip-pred.md:body,Сохранённая,Данный предохранитель имеет рекордные характеристики: он рассчитан на ток 100 000 ампер при напряжен,Сохраненная | Сохранная | Сохраненный | Сохранный,LOW,SPELLING
2015-09-16-ge-ispolzuya-ansys-sozdali-prototip-pred.md:body,Сохранённая,Данный предохранитель имеет рекордные характеристики: он рассчитан на ток 100 000 ампер при напряжен,Сохраненная | Сохранная | Сохраненный | Сохранный,LOW,SPELLING
2015-09-16-istoricheski-tak-slozhilos-chto-u-vseh-v.md:body,Лэрда,"А между тем, пора бы уже всем взглянуть на постоянно расширяющиеся возможности решателя. Берите прим",Лорда | Лярда | Бард,LOW,SPELLING
2015-09-16-istoricheski-tak-slozhilos-chto-u-vseh-v.md:body,блоге,"А между тем, пора бы уже всем взглянуть на постоянно расширяющиеся возможности решателя. Берите прим",боге | логе | благе | блохе | блоке,LOW,SPELLING
2015-09-18-comsol-provodit-v-svoem-bloge-likbez-po.md:title,блоге,"COMSOL проводит в своем блоге ликбез по теме геометрической нелинейности, учету больших перемещений ",боге | логе | благе | блохе | блоке,LOW,SPELLING
2015-09-20-znakomimsya-s-kompaniey-karagozian-case.md:body,решаетелем,Их модель Karagozian & Case (K&C) Сementitious (KCC) больше известна как *MAT_072R3 (*MAT_CONCRETE_D,вешателем | вешателе | вешатель | вешателей | вешателям,LOW,SPELLING
2015-09-20-znakomimsya-s-kompaniey-karagozian-case.md:body,решателем,Их модель Karagozian & Case (K&C) Сementitious (KCC) больше известна как *MAT_072R3 (*MAT_CONCRETE_D,вешателем | вешателе | предателем | вешатель | делателем,LOW,SPELLING
2015-09-21-semina-posvyaschennyy-rabote-simsolid-resha.md:title,Семина,Семина посвященный работе SimSolid (решателя отрицающего сетки) совместно с Onshape.,Семинар | Седина | Семена | Семита | Серина,LOW,SPELLING
2015-09-23-a-vam-slabo-dokazat-teoremu-pifagora-pr.md:title,Пифагора,А вам слабо доказать теорему Пифагора при помощи  ?,Пифагорова | Пифагоров | Пикадора | Пикадор,LOW,SPELLING
2015-09-23-na-proshedshey-nedele-produkty-ansys-redha.md:title,техпроцессу,На прошедшей неделе продукты ANSYS RedHawk и Totem были сертифицированы компанией TSMC (Taiwan Semic,тех процессу | тех-процессу,LOW,SPELLING
2015-09-24-ne-uspeli-my-izuchit-abbreviaturu-dem-m.md:title,восхвалили,"Не успели мы изучить аббревиатуру DEM (метод дискретного элемента,Discrete Element Method), и даже в",восхваляли | похвалили | восхвалял | воспалили | выхвалили,LOW,SPELLING
2015-09-25-dovolno-chasto-polzovateli-ansys-zhaluyut.md:body,петабайтами,"Steve Legensky из Intelligent Light расскажет, как жить, когда результаты ваших расчетов измеряются ",мегабайтами | мегабайтам | мегабайт,LOW,SPELLING
2015-09-29-tema-etogo-posta-ochen-prosta-a-polyhe.md:body,Сандийских,"Докладывает некто Joe Bishop из Сандийских национальных лабораторий (Sandia National Laboratories, S",Индийских | Руандийских | Угандийских | Бандитских | Мансийских,LOW,SPELLING
2015-09-29-viskonsinskiy-universitet-v-madisone-un.md:title,плагин,Висконсинский университет в Мадисоне (University of Wisconsin–Madison) забавы ради сделал бесплатный,план | плавни | паладин | плагиат | пластин,LOW,SPELLING
2015-10-01-komu-manualy-k-novoy-dayne-a-to-oni-u-m.md:title,мануалы,Кому мануалы к новой дайне?,мангалы | каналы | мангал | маралы | Манилы,LOW,SPELLING
2015-10-01-komu-manualy-k-novoy-dayne-a-to-oni-u-m.md:title,дайне,Кому мануалы к новой дайне?,дайте | тайне | дай не | дай-не | даней,LOW,SPELLING
2015-10-01-vchera-sostoyalsya-novyy-reliz-ls-dyna-pod.md:body,наконец-то,"Из принципиально нового:
- *SET_POROUS_ALE для пористости тел в ALE постановке
- *ALE_SWITCH_MMG для",наконец | наконечный | наконечною | наконечное | наконечной,LOW,SPELLING
2015-10-01-vchera-sostoyalsya-novyy-reliz-ls-dyna-pod.md:body,позволяющия,"Из принципиально нового:
- *SET_POROUS_ALE для пористости тел в ALE постановке
- *ALE_SWITCH_MMG для",позволяющая | позволяющие | позволяющих | позволяющий | позволяющим,LOW,SPELLING
2015-10-01-vchera-sostoyalsya-novyy-reliz-ls-dyna-pod.md:body,лагренжевых,"Из принципиально нового:
- *SET_POROUS_ALE для пористости тел в ALE постановке
- *ALE_SWITCH_MMG для",шагреневых | шагреневый | Лагранжем,LOW,SPELLING
2015-10-01-vchera-sostoyalsya-novyy-reliz-ls-dyna-pod.md:body,перенумерация,"Из принципиально нового:
- *SET_POROUS_ALE для пористости тел в ALE постановке
- *ALE_SWITCH_MMG для",пере нумерация | пере-нумерация,LOW,SPELLING
2015-10-07-sravnitelno-novaya-no-mnogoobeschayuschaya-me.md:body,безопастности,"Данный подход является расширением метода корпускулярный частиц (corpuscular particle method, CPM) и",безопасности | безопасность | безучастности | безучастность,LOW,SPELLING
2015-10-07-sravnitelno-novaya-no-mnogoobeschayuschaya-me.md:body,лагранжевой,"Данный подход является расширением метода корпускулярный частиц (corpuscular particle method, CPM) и",Лагранжем | Лагранж | Лагранже,LOW,SPELLING
2015-10-07-sravnitelno-novaya-no-mnogoobeschayuschaya-me.md:body,эйлеровом,"Данный подход является расширением метода корпускулярный частиц (corpuscular particle method, CPM) и",Эйлером | флеровом | элероном | Эйлер | элерон,LOW,SPELLING
2015-10-07-zapuschennyy-na-cary-xc40tm-kod-ansys-flue.md:body,суперкомпьютера,"Дальше остаться только завидовать показателям: сетка на 62 миллионов ячеек, 8192 ядра суперкомпьютер",супер компьютера | супер-компьютера,LOW,SPELLING
2015-10-09-ya-tut-zametil-chto-na-sayte-s-primerami.md:title,дайны,"Я тут заметил, что на сайте с примерами задач для дайны добавлена задача с примером работы с DEM пос",даны | тайны | ай,LOW,SPELLING
2015-10-10-a-kak-naschet-bessetochnyh-metodov-vot-na.md:title,бессеточных,А как насчет бессеточных методов?,бессточных | бес сеточных | бес-сеточных | беседочных | бессрочных,LOW,SPELLING
2015-10-10-a-kak-naschet-bessetochnyh-metodov-vot-na.md:body,бессеточный,"Вот например бессеточный метод Галеркина для моделирования технологических процессов.

gear forging ",бессточный | бес сеточный | бес-сеточный | беседочный | бессрочный,LOW,SPELLING
2015-10-10-a-kak-naschet-bessetochnyh-metodov-vot-na.md:body,Галеркина,"Вот например бессеточный метод Галеркина для моделирования технологических процессов.

gear forging ",Галерки на | Галерки-на | Галерка | Галерки | Балерина,LOW,SPELLING
2015-10-10-podborka-video-vyhodnogo-dnya-kotoraya-lu.md:body,эйлеровом,Процессы моделируют в эйлеровом домене или методом сглаженных частиц. Решатели очень разные. Тут ест,Эйлером | флеровом | элероном | Эйлер | элерон,LOW,SPELLING
2015-10-10-podborka-video-vyhodnogo-dnya-kotoraya-lu.md:body,что-то,Процессы моделируют в эйлеровом домене или методом сглаженных частиц. Решатели очень разные. Тут ест,ото | тот | что | фото | лото,LOW,SPELLING
2015-10-11-eto-ne-sovsem-pro-raschety-no-eto-to-che.md:body,наконец-то,"Спецы рассказывают, о работе NVIDIA Tesla K80 и Quadro M60 в облако Azure. Более того, у Microsoft н",наконец | наконечный | наконечною | наконечное | наконечной,LOW,SPELLING
2015-10-11-eto-ne-sovsem-pro-raschety-no-eto-to-che.md:body,проброски,"Спецы рассказывают, о работе NVIDIA Tesla K80 и Quadro M60 в облако Azure. Более того, у Microsoft н",про броски | про-броски | проростки | пророки | переброски,LOW,SPELLING
2015-10-11-eto-ne-sovsem-pro-raschety-no-eto-to-che.md:body,инстансы,"Спецы рассказывают, о работе NVIDIA Tesla K80 и Quadro M60 в облако Azure. Более того, у Microsoft н",стансы | станс | станса | стансе | стансу,LOW,SPELLING
2015-10-12-nakonets-to-ya-nashel-dostoynuyu-statyu-dlya.md:title,Наконец-то,"Наконец-то я нашел достойную статью для калибровки железобетона. Не могу не поделиться. Надеюсь, что",Наконец | Наконечный | Наконечною | Наконечное | Наконечной,LOW,SPELLING
2015-10-12-otlichnyy-likbez-po-teme-dostavki-prilozhe.md:body,ками,"Досконально разобраны все подводные ками, обозрении практически все ханологии (забыли только две: ст",камеи | камин | камки | камни | яками,LOW,SPELLING
2015-10-12-otlichnyy-likbez-po-teme-dostavki-prilozhe.md:body,ханологии,"Досконально разобраны все подводные ками, обозрении практически все ханологии (забыли только две: ст",антологии | хронологии | аналогии | апологии | фенологии,LOW,SPELLING
2015-10-13-my-tozhe-osobonno-teh-kto-hochet-uznat.md:title,особонно,"Мы тоже, особонно тех, кто хочет узнать по LS-DYNA.   ",особенно | особенною | особенное | особенной | особенном,LOW,SPELLING
2015-10-13-nishtyaki-ot-cadfem-dlya-acum.md:title,Ништяки,Ништяки от  для ,Нитки | Нитка | Нитке | Нитку | Ниток,LOW,SPELLING
2015-10-13-nishtyaki-ot-cadfem-dlya-acum.md:body,Ништяки,Ништяки от  для ,Нитки | Нитка | Нитке | Нитку | Ниток,LOW,SPELLING
2015-10-13-stena-dlya-selfi-na-acum.md:title,селфи,Стена для селфи на ,сели | сел фи | сел-фи | если | секли,LOW,SPELLING
2015-10-13-stena-dlya-selfi-na-acum.md:body,селфи,Стена для селфи на ,сели | сел фи | сел-фи | если | секли,LOW,SPELLING
2015-10-13-uzhe-segodnya-utrom-komanda-cadfem-cis-pre.md:body,из-за,"Так как я сам буду активно принимать участие в работе конференции, то не исключаю вероятность сбоев ",изба | извоза | изюма | из | низа,LOW,SPELLING
